WEIGHT,CLASS,GROSS CHG,NET,ORG ZIP,DEST ZIP,
117,150,$88.60 ,$102.69 ,30728,37416,
30,150,$88.60 ,$102.33 ,30728,37416,
54,100,$95.22 ,$116.83 ,30728,42240,
45,100,$95.22 ,$116.83 ,30728,42240,
140,150,$86.00 ,$100.45 ,30728,37416,
137,150,$86.00 ,$100.36 ,30728,37416,
122,175,$112.46 ,$150.38 ,30728,39046,
86,100,$98.50 ,$121.60 ,30728,40601,
81,150,$86.00 ,$100.28 ,30728,37416,
149,85,$86.00 ,$100.28 ,30728,37355,
415,70,$123.90 ,$152.64 ,30728,37388,
187,150,$86.00 ,$165.28 ,30728,35046,
77,70,$95.22 ,$115.17 ,43506,60126,
91,250,$86.00 ,$100.36 ,30728,37416,
2800,100,"$1,137.07 ","$1,137.07 ",30728,48326,
140,125,$86.00 ,$145.88 ,48326,30728,
360,100,$463.39 ,$196.57 ,30728,30135,
337,60,$86.00 ,$135.28 ,48326,45845,
161,85,$88.60 ,$107.29 ,30728,37355,
309,55,$86.00 ,$145.79 ,30728,45342,
155,85,$88.60 ,$107.12 ,30728,37355,
455,150,$858.99 ,$364.39 ,30728,30135,
200,150,$86.00 ,$200.19 ,48326,49783,
249,55,$86.00 ,$145.88 ,30728,45801,
150,100,$95.22 ,$117.55 ,49247,48326,
160,100,$95.22 ,$117.55 ,49247,48326,
135,250,$86.00 ,$146.05 ,30728,37401,
204,100,$95.22 ,$117.31 ,49247,48326,
257,100,$95.22 ,$116.60 ,30728,37416,
93,250,$86.00 ,$100.45 ,30728,37355,
59,85,$88.60 ,$102.95 ,48326,48089,
93,250,$86.00 ,$100.19 ,30728,37355,
167,100,$95.22 ,$116.83 ,49247,48326,
180,100,$95.22 ,$116.83 ,49247,48326,
120,250,$86.00 ,$165.36 ,30728,37091,
108,175,$97.65 ,$119.62 ,30728,40601,
165,100,$95.22 ,$116.60 ,49247,48326,
165,100,$95.22 ,$116.60 ,49247,48326,
179,100,$95.22 ,$116.60 ,49247,48326,
186,85,$88.60 ,$105.35 ,30728,37355,
39,100,$95.22 ,$116.60 ,30728,40601,
226,100,$88.60 ,$105.08 ,30728,37416,
168,85,$88.60 ,$104.90 ,30728,37355,
172,100,$95.22 ,$115.64 ,49247,48326,
181,100,$95.22 ,$115.64 ,49247,48326,
177,100,$95.22 ,$115.64 ,49247,48326,
171,100,$95.22 ,$115.41 ,49247,48326,
172,100,$95.22 ,$115.41 ,49247,48326,
150,100,$95.22 ,$117.55 ,48326,49247,
160,100,$95.22 ,$117.55 ,48326,49247,
50,300,$86.00 ,$135.28 ,30728,60084,
58,85,$95.22 ,$115.64 ,30728,40351,
337,55,$86.00 ,$145.88 ,47711,30728,
337,55,$86.00 ,$145.88 ,30728,47711,
1538,150,"$2,390.39 ","$1,215.27 ",30728,64153,
167,100,$95.22 ,$115.17 ,49247,48326,
204,100,$95.22 ,$117.31 ,48326,49247,
140,125,$86.00 ,$145.88 ,30728,48326,
167,100,$95.22 ,$116.83 ,48326,49247,
180,100,$95.22 ,$116.83 ,48326,49247,
76,85,$88.60 ,$103.40 ,43506,48326,
76,85,$88.60 ,$103.40 ,48326,43506,
305,60,$98.50 ,$121.60 ,30728,37122,
128,65,$82.40 ,$109.95 ,48326,46628,
165,100,$95.22 ,$116.60 ,48326,49247,
165,100,$95.22 ,$116.60 ,48326,49247,
179,100,$95.22 ,$116.60 ,48326,49247,
280,150,$88.60 ,$217.29 ,49237,48326,
134,100,$95.22 ,$116.83 ,30728,40245,
134,100,$95.22 ,$116.83 ,40245,30728,
170,150,$86.00 ,$165.28 ,48326,49783,
70,150,$75.00 ,$119.13 ,30728,39046,
2060,250,$520.00 ,$650.64 ,30728,37416,
60,150,$86.00 ,$100.36 ,48326,48314,
60,150,$86.00 ,$100.36 ,48314,48326,
88,175,$115.00 ,$142.49 ,30728,64153,
168,85,$88.60 ,$102.95 ,30728,37355,
260,150,$86.00 ,$200.36 ,49237,48326,
172,100,$95.22 ,$115.64 ,48326,49247,
181,100,$95.22 ,$115.64 ,48326,49247,
177,100,$95.22 ,$115.64 ,48326,49247,
1220,150,"$1,871.00 ",$948.92 ,30728,64153,
96,250,$86.00 ,$100.36 ,30728,37416,
171,100,$95.22 ,$115.41 ,48326,49247,
172,100,$95.22 ,$115.41 ,48326,49247,
266,100,$95.22 ,$116.60 ,30728,37416,
84,100,$95.22 ,$118.03 ,30728,39046,
167,100,$95.22 ,$115.17 ,48326,49247,
155,175,$88.60 ,$210.17 ,48326,30728,
355,60,$86.00 ,$135.19 ,48326,45845,
290,60,$95.22 ,$117.07 ,30728,37122,
598,250,"$1,600.95 ",$904.50 ,48326,27596,
172,150,$417.44 ,$168.11 ,30728,39110,
111,150,$86.00 ,$100.28 ,30728,30165,
102,150,$86.00 ,$100.28 ,30728,30165,
108,150,$86.00 ,$100.28 ,30728,30165,
285,60,$95.22 ,$115.64 ,30728,37122,
82,150,$86.00 ,$100.19 ,48326,43506,
82,150,$86.00 ,$100.19 ,43506,48326,
175,150,$86.00 ,$165.28 ,48326,49783,
150,150,$86.00 ,$100.45 ,30728,37416,
150,150,$86.00 ,$100.36 ,30728,37416,
127,150,$86.00 ,$100.02 ,30728,30165,
161,85,$86.00 ,$100.28 ,30728,37355,
155,85,$86.00 ,$100.28 ,30728,37355,
185,150,$86.00 ,$168.49 ,48326,45015,
220,100,$92.00 ,$111.73 ,49247,48326,
79,150,$86.00 ,$99.93 ,30728,30165,
125,150,$88.60 ,$106.32 ,48326,49315,
155,85,$86.00 ,$100.10 ,30728,37355,
